,GPUs,Sold
0,GeForce RTX 3090 Ti,11
1,GeForce RTX 3090,8812
2,GeForce RTX 3080 Ti,7637
3,GeForce RTX 3080 12GB,151
4,GeForce RTX 3080,10871
5,GeForce RTX 3070 Ti,7800
6,GeForce RTX 3070,13470
7,GeForce RTX 3060 Ti,18474
8,GeForce RTX 3060 12GB,14166
9,GeForce RTX 3050,568
10,Radeon RX 6900 XT,1454
11,Radeon RX 6800 XT,1819
12,Radeon RX 6800,867
13,Radeon RX 6700 XT,4497
14,Radeon RX 6600 XT,4743
15,Radeon RX 6600,1791
16,Radeon RX 6500 XT,207
