GPUs,Prices,Month
Radeon RX 6600 XT,495,22-Mar
Radeon RX 6600 XT,568,22-Feb
Radeon RX 6600 XT,610,22-Jan
Radeon RX 6600 XT,659,21-Dec
Radeon RX 6600 XT,665,21-Nov
Radeon RX 6600 XT,631,21-Oct
Radeon RX 6600 XT,591,21-Sep
MSRP,379,22-Mar
MSRP,379,22-Feb
MSRP,379,22-Jan
MSRP,379,21-Dec
MSRP,379,21-Nov
MSRP,379,21-Oct
MSRP,379,21-Sep
