GPUs,Prices,Month
Radeon RX 6800 XT,996,22-Mar
Radeon RX 6800 XT,1176,22-Feb
Radeon RX 6800 XT,1269,22-Jan
Radeon RX 6800 XT,1387,21-Dec
Radeon RX 6800 XT,1384,21-Nov
Radeon RX 6800 XT,1314,21-Oct
Radeon RX 6800 XT,1323,21-Sep
MSRP,649,22-Mar
MSRP,649,22-Feb
MSRP,649,22-Jan
MSRP,649,21-Dec
MSRP,649,21-Nov
MSRP,649,21-Oct
MSRP,649,21-Sep
