GPUs,Prices,Month
GeForce RTX 3080 Ti,1531,22-Mar
GeForce RTX 3080 Ti,1721,22-Feb
GeForce RTX 3080 Ti,1874,22-Jan
GeForce RTX 3080 Ti,1992,21-Dec
GeForce RTX 3080 Ti,1895,21-Nov
GeForce RTX 3080 Ti,1829,21-Oct
GeForce RTX 3080 Ti,1831,21-Sep
MSRP,1119,22-Mar
MSRP,1119,22-Feb
MSRP,1119,22-Jan
MSRP,1119,21-Dec
MSRP,1119,21-Nov
MSRP,1119,21-Oct
MSRP,1119,21-Sep
