GPUs,Prices,Month
Radeon RX 6700 XT,643,22-Mar
Radeon RX 6700 XT,783,22-Feb
Radeon RX 6700 XT,847,22-Jan
Radeon RX 6700 XT,898,21-Dec
Radeon RX 6700 XT,945,21-Nov
Radeon RX 6700 XT,859,21-Oct
Radeon RX 6700 XT,858,21-Sep
MSRP,479,22-Mar
MSRP,479,22-Feb
MSRP,479,22-Jan
MSRP,479,21-Dec
MSRP,479,21-Nov
MSRP,479,21-Oct
MSRP,479,21-Sep
