GPUs,Prices,Month
GeForce RTX 3090,"$2,111 ",22-Mar
GeForce RTX 3090,"$2,341 ",22-Feb
GeForce RTX 3090,"$2,609 ",21-Jan
GeForce RTX 3090,"$2,918 ",21-Dec
GeForce RTX 3090,"$2,936 ",21-Nov
GeForce RTX 3090,"$2,737 ",21-Oct
GeForce RTX 3090,"$2,702 ",21-Sep
MSRP,"$1,499 ",22-Mar
MSRP,"$1,499 ",22-Feb
MSRP,"$1,499 ",21-Jan
MSRP,"$1,499 ",21-Dec
MSRP,"$1,499 ",21-Nov
MSRP,"$1,499 ",21-Oct
MSRP,"$1,499 ",21-Sep
