GeForce RTX 3060 12GB,GeForce RTX 3090,GeForce RTX 3080,GeForce RTX 3080 Ti,GeForce RTX 3070,GeForce RTX 3070 Ti,Radeon RX 6600 XT,Radeon RX 6800,Radeon RX 6700 XT,Radeon RX 6800 XT,Radeon RX 6900 XT,MSRP GeForce RTX 3080,MSRP GeForce RTX 3060 12GB,MSRP GeForce RTX 3080 Ti,MSRP GeForce RTX 3090,MSRP GeForce RTX 3070,MSRP GeForce RTX 3070 Ti,MSRP Radeon RX 6600 XT,MSRP Radeon RX 6800,MSRP Radeon RX 6700 XT,MSRP Radeon RX 6800 XT,MSRP Radeon RX 6900 XT,Time,Etherium Price
580,2111,1283,1531,858,880,495,888,643,996,1256,699,329,1119,1499,499,599,379,579,479,649,999,22-Mar,3383.79
636,2341,1440,1721,988,1001,568,1033,783,1176,1421,699,329,1119,1499,499,599,379,579,479,649,999,22-Feb,2629.48
711,2609,1613,1874,1086,1179,610,1150,847,1269,1528,699,329,1119,1499,499,599,379,579,479,649,999,22-Jan,2604.37
761,2918,1783,1992,1179,1244,659,1282,898,1387,1527,699,329,1119,1499,499,599,379,579,479,649,999,21-Dec,3710.23
749,2936,1720,1895,1193,1201,665,1332,945,1384,1599,699,329,1119,1499,499,599,379,579,479,649,999,21-Nov,4426.74
698,2737,1666,1829,1144,1124,631,1260,859,1314,1512,699,329,1119,1499,499,599,379,579,479,649,999,21-Oct,4298.43
700,2702,1677,1831,1210,1172,591,1293,858,1323,1546,699,329,1119,1499,499,599,379,579,479,649,999,21-Sep,2838.95
